Inactive?,Name,Type
,Wheat,Bread
,White,Breads
,Almond Butter,topping
,Anchovies,topping
,Bacon bits,topping
,Bananas,topping
,BBQ Sauce,topping
,"Beans, Baked (Vegetarian)",topping
,"Beans, Refried (Vegetarian)",topping
,Branston Pickle,topping
,Butter,topping
,Cactus (Nopalitos),topping
,Canned Tuna,topping
,Cap'n Crunch Cereal,topping
,Cashew butter,topping
,Cayenne,topping
,Chocolate Frosting,topping
,Chocolate Pudding,topping
,Chocolate Syrup,topping
,Cinnamon,topping
,Cinnamon Sugar,topping
,Cookie Butter,topping
,Corn,topping
,Cream Cheese Frosting,topping
,"Cream Cheese, Plain",topping
,Creamy Peanut Butter,topping
,Crunchy Peanut Butter,topping
,Dystopian Marmalade,topping
,Easy Cheese,topping
,"Frosting, Chocolate",topping
,"Frosting, Vanilla",topping
,"Frosting, Cream Cheese",topping
x,"Garlic, Powder",topping
,Gluten<br><small>portaged on the back of an actual celiac</small>,topping
,Grape jelly,topping
,Guava Jelly,topping
,Horsradish Sauce,topping
,Honey,topping
,HP Sauce,topping
,Hummus,topping
,"Jelly, Grape",topping
,"Jelly, Strawberry",topping
x,Ketchup,topping
,Kippers,topping
,Lemon Curd,topping
,Liverwurst,topping
,Malt Vinegar,topping
,"Marmalade, Orange",topping
,Marmite,topping
,Marshmellow Creme,topping
,Mayo,topping
,Mole Sauce,topping
,MSG,topping
,Mustard,topping
,Nopolitos,topping
,Nutella,topping
,Octopus,topping
,Olive Oil,topping
,Orange Marmalade,topping
,"Oysters, Smoked",topping
,"Peanut Butter, Creamy",topping
,"Peanut Butter, Crunchy",topping
,"Pepper, Black",topping
,"Pepperoni, Turkey",topping
,Pickled Herring,topping
,Pixie Stix,topping
,Plum Sauce,topping
,Pork N Beans,topping
,"*Pudding, Chocolate",topping
,"*Pudding, Vanilla",topping
,Raisins,topping
,"Relish, Apple & Onion<br><small>with fennel!</small>",topping
,"Relish, Sweet",topping
,"Relish, Pepper & Onion",topping
,Roasted Eel,topping
,"Salsa, Peach",topping
,Salt,topping
,Sardines in Tomato Sauce,topping
,Sardines in Water,topping
,Sesame Seeds,topping
,Smoked Oysters,topping
,Soy Sauce,topping
,Spagetti-Os,topping
,Sprinkles,topping
,Sriracha,topping
,Strawberry Jelly,topping
,"Sugar, Brown",topping
,"Sugar, Powdered",topping
,"Sugar, White",topping
,Sunflower Butter,topping
,Sweet Relish,topping
,"Syrup, Chocolate",topping
,Tabasco,topping
,Tuna,topping
,Vanilla Frosting,topping
,Vanilla Pudding,topping
,Vegetarian Baked Beans,topping
,Vegetarian Refried Beans,topping
,Unattended Children,topping
,Vegemite,topping
,Worchestershire sauce,topping
,Pickled Eggs,topping
,"Hot Sauce, Dave's Temporary Insanity",topping
,"Hot Sauce, Yucatan green",topping
,"Candy, Mexican, Terrible",topping
